,date,macroeconomics_indicator,United States,China
148,1965-07-01,RGDP,4.207782,
149,1965-07-01,CPI,3.1579999999999996e-11,
150,1965-10-01,RGDP,4.304731,
151,1965-10-01,CPI,3.1649999999999995e-11,
152,1966-01-01,RGDP,4.409518,
153,1966-01-01,CPI,3.188e-11,
154,1966-04-01,RGDP,4.424581,
155,1966-04-01,CPI,3.228e-11,
156,1966-07-01,RGDP,4.462053,
157,1966-07-01,CPI,3.245e-11,
158,1966-10-01,RGDP,4.49866,
159,1966-10-01,CPI,3.285e-11,
160,1967-01-01,RGDP,4.538498,
161,1967-01-01,CPI,3.29e-11,
162,1967-04-01,RGDP,4.5412799999999995,
163,1967-04-01,CPI,3.31e-11,
164,1967-07-01,RGDP,4.584246,
165,1967-07-01,CPI,3.3399999999999996e-11,
166,1967-10-01,RGDP,4.618812,
167,1967-10-01,CPI,3.3700000000000004e-11,
168,1968-01-01,RGDP,4.713013,
169,1968-01-01,CPI,3.4100000000000004e-11,
170,1968-04-01,RGDP,4.791758,
171,1968-04-01,CPI,3.44e-11,
172,1968-07-01,RGDP,4.828892,
173,1968-07-01,CPI,3.49e-11,
174,1968-10-01,RGDP,4.847885,
175,1968-10-01,CPI,3.53e-11,
176,1969-01-01,RGDP,4.92376,
177,1969-01-01,CPI,3.5700000000000003e-11,
178,1969-04-01,RGDP,4.938728,
179,1969-04-01,CPI,3.6299999999999994e-11,
180,1969-07-01,RGDP,4.971349,
181,1969-07-01,CPI,3.68e-11,
182,1969-10-01,RGDP,4.9471039999999995,
183,1969-10-01,CPI,3.7299999999999997e-11,
184,1970-01-01,RGDP,4.939759,
185,1970-01-01,CPI,3.79e-11,
186,1970-04-01,RGDP,4.94677,
187,1970-04-01,CPI,3.8499999999999996e-11,
188,1970-07-01,RGDP,4.992357,
189,1970-07-01,CPI,3.8899999999999996e-11,
190,1970-10-01,RGDP,4.938857,
191,1970-10-01,CPI,3.94e-11,
192,1971-01-01,RGDP,5.072996,
193,1971-01-01,CPI,3.99e-11,
194,1971-04-01,RGDP,5.100447,
195,1971-04-01,CPI,4.01e-11,
196,1971-07-01,RGDP,5.142422,
197,1971-07-01,CPI,4.06e-11,
198,1971-10-01,RGDP,5.154547,
199,1971-10-01,CPI,4.0899999999999996e-11,
200,1972-01-01,RGDP,5.249337,
201,1972-01-01,CPI,4.1200000000000004e-11,
202,1972-04-01,RGDP,5.368485,
203,1972-04-01,CPI,4.15e-11,
204,1972-07-01,RGDP,5.419184,
205,1972-07-01,CPI,4.1799999999999994e-11,
206,1972-10-01,RGDP,5.509926,
207,1972-10-01,CPI,4.22e-11,
208,1973-01-01,RGDP,5.646286,
209,1973-01-01,CPI,4.2700000000000005e-11,
210,1973-04-01,RGDP,5.707755,
211,1973-04-01,CPI,4.37e-11,
212,1973-07-01,RGDP,5.677738,
213,1973-07-01,CPI,4.42e-11,
214,1973-10-01,RGDP,5.731632,
215,1973-10-01,CPI,4.56e-11,
216,1974-01-01,RGDP,5.682353,
217,1974-01-01,CPI,4.6799999999999996e-11,
218,1974-04-01,RGDP,5.695859,
219,1974-04-01,CPI,4.81e-11,
220,1974-07-01,RGDP,5.642025,
221,1974-07-01,CPI,4.9299999999999994e-11,
222,1974-10-01,RGDP,5.620126,
223,1974-10-01,CPI,5.1e-11,
224,1975-01-01,RGDP,5.5517129999999995,
225,1975-01-01,CPI,5.2299999999999996e-11,
226,1975-04-01,RGDP,5.591382,
227,1975-04-01,CPI,5.3e-11,
228,1975-07-01,RGDP,5.687087,
229,1975-07-01,CPI,5.4e-11,
230,1975-10-01,RGDP,5.763665,
231,1975-10-01,CPI,5.49e-11,
232,1976-01-01,RGDP,5.893276,
233,1976-01-01,CPI,5.58e-11,
234,1976-04-01,RGDP,5.936515,
235,1976-04-01,CPI,5.61e-11,
236,1976-07-01,RGDP,5.969089,
237,1976-07-01,CPI,5.7e-11,
238,1976-10-01,RGDP,6.012356,
239,1976-10-01,CPI,5.7899999999999995e-11,
240,1977-01-01,RGDP,6.083391,
241,1977-01-01,CPI,5.87e-11,
242,1977-04-01,RGDP,6.201659,
243,1977-04-01,CPI,6e-11,
244,1977-07-01,RGDP,6.313559,
245,1977-07-01,CPI,6.08e-11,
246,1977-10-01,RGDP,6.3136969999999994,
247,1977-10-01,CPI,6.16e-11,
248,1978-01-01,RGDP,6.333848,
249,1978-01-01,CPI,6.27e-11,
250,1978-04-01,RGDP,6.578605,
251,1978-04-01,CPI,6.39e-11,
252,1978-07-01,RGDP,6.644754,
253,1978-07-01,CPI,6.549999999999999e-11,
254,1978-10-01,RGDP,6.734069,
255,1978-10-01,CPI,6.709999999999999e-11,
256,1979-01-01,RGDP,6.746176,
257,1979-01-01,CPI,6.85e-11,
258,1979-04-01,RGDP,6.753388999999999,
259,1979-04-01,CPI,7.06e-11,
260,1979-07-01,RGDP,6.803558,
261,1979-07-01,CPI,7.299999999999999e-11,
262,1979-10-01,RGDP,6.820572,
263,1979-10-01,CPI,7.52e-11,
264,1980-01-01,RGDP,6.842023999999999,
265,1980-01-01,CPI,7.8e-11,
266,1980-04-01,RGDP,6.701046,
267,1980-04-01,CPI,8.09e-11,
268,1980-07-01,RGDP,6.6930819999999995,
269,1980-07-01,CPI,8.259999999999999e-11,
270,1980-10-01,RGDP,6.817903,
271,1980-10-01,CPI,8.47e-11,
272,1981-01-01,RGDP,6.9514949999999995,
273,1981-01-01,CPI,8.720000000000001e-11,
274,1981-04-01,RGDP,6.89998,
275,1981-04-01,CPI,8.91e-11,
276,1981-07-01,RGDP,6.982609,
277,1981-07-01,CPI,9.15e-11,
278,1981-10-01,RGDP,6.906529,
279,1981-10-01,CPI,9.340000000000001e-11,
280,1982-01-01,RGDP,6.799233,
281,1982-01-01,CPI,9.44e-11,
282,1982-04-01,RGDP,6.830251,
283,1982-04-01,CPI,9.5e-11,
284,1982-07-01,RGDP,6.804139,
285,1982-07-01,CPI,9.75e-11,
286,1982-10-01,RGDP,6.806857,
287,1982-10-01,CPI,9.809999999999999e-11,
288,1983-01-01,RGDP,6.896561,
289,1983-01-01,CPI,9.79e-11,
290,1983-04-01,RGDP,7.0535,
291,1983-04-01,CPI,9.88e-11,
292,1983-07-01,RGDP,7.194504,
293,1983-07-01,CPI,9.98e-11,
294,1983-10-01,RGDP,7.344597,
295,1983-10-01,CPI,1.0079999999999999e-10,
296,1984-01-01,RGDP,7.488167,
297,1984-01-01,CPI,1.0209999999999999e-10,
298,1984-04-01,RGDP,7.617547,
299,1984-04-01,CPI,1.033e-10,
300,1984-07-01,RGDP,7.6909849999999995,
301,1984-07-01,CPI,1.041e-10,
302,1984-10-01,RGDP,7.754117,
303,1984-10-01,CPI,1.0509999999999999e-10,
304,1985-01-01,RGDP,7.82926,
305,1985-01-01,CPI,1.057e-10,
306,1985-04-01,RGDP,7.898194,
307,1985-04-01,CPI,1.0699999999999999e-10,
308,1985-07-01,RGDP,8.018809,
309,1985-07-01,CPI,1.077e-10,
310,1985-10-01,RGDP,8.078415,
311,1985-10-01,CPI,1.085e-10,
312,1986-01-01,RGDP,8.153829,
313,1986-01-01,CPI,1.099e-10,
314,1986-04-01,RGDP,8.190552,
315,1986-04-01,CPI,1.087e-10,
316,1986-07-01,RGDP,8.268934999999999,
317,1986-07-01,CPI,1.095e-10,
318,1986-10-01,RGDP,8.313338,
319,1986-10-01,CPI,1.102e-10,
320,1987-01-01,RGDP,8.375274,
321,1987-01-01,CPI,1.114e-10,
322,1987-04-01,RGDP,8.465629999999999,
323,1987-04-01,CPI,1.127e-10,
324,1987-07-01,RGDP,8.539075,
325,1987-07-01,CPI,1.138e-10,
326,1987-10-01,RGDP,8.685694,
327,1987-10-01,CPI,1.15e-10,
328,1988-01-01,RGDP,8.730569,
329,1988-01-01,CPI,1.16e-10,
330,1988-04-01,RGDP,8.84528,
331,1988-04-01,CPI,1.172e-10,
332,1988-07-01,RGDP,8.897107,
333,1988-07-01,CPI,1.185e-10,
334,1988-10-01,RGDP,9.015661,
335,1988-10-01,CPI,1.199e-10,
336,1989-01-01,RGDP,9.107314,
337,1989-01-01,CPI,1.212e-10,
338,1989-04-01,RGDP,9.176827,
339,1989-04-01,CPI,1.231e-10,
340,1989-07-01,RGDP,9.244816,
341,1989-07-01,CPI,1.245e-10,
342,1989-10-01,RGDP,9.263033,
343,1989-10-01,CPI,1.254e-10,
344,1990-01-01,RGDP,9.364259,
345,1990-01-01,CPI,1.275e-10,
